Name	Parent	ItemGroup	ModifierType	Act	Level	Slot	Requirements	Armor Defense Value	ArmorBoost	Magic Armor Value	MagicArmorBoost	Durability	DurabilityDegradeSpeed	Value	Weight	Movement	Initiative	Fire	Air	Water	Earth	Poison	Piercing	Physical	StrengthBoost	FinesseBoost	IntelligenceBoost	ConstitutionBoost	MemoryBoost	WitsBoost	SingleHanded	TwoHanded	Ranged	DualWielding	Perseverance	Leadership	PainReflection	WarriorLore	RangerLore	RogueLore	Sourcery	FireSpecialist	WaterSpecialist	AirSpecialist	EarthSpecialist	Necromancy	Polymorph	Summoning	Telekinesis	Sneaking	Thievery	Loremaster	Repair	Barter	Persuasion	Luck	SightBoost	HearingBoost	VitalityBoost	MagicPointsBoost	ChanceToHitBoost	APMaximum	APStart	APRecovery	AccuracyBoost	DodgeBoost	CriticalChance	Reflection	MaxSummons	Skills	Talents	Tags	ExtraProperties	Flags	Boosts	ComboCategory	InventoryTab	ArmorType	ItemColor	NeedsIdentification	Charges	MaxCharges	RuneSlots	RuneSlots_V1	ObjectCategory	MinAmount	MaxAmount	Priority	Unique	MinLevel	MaxLevel	Comment	
_Armors			Item			Breast		0		0		0	5	68		0	0	0	0	0	0	0	0	0																																																					Equipment						0	0									
_ClothArmor		ClothUpperBody	Item	1		Breast		30		0		0	2	6	1000	0	0	0	0	0	0	0	0	0																																																					Equipment	Cloth	Burnished Bronze				0	0									
ARM_Civilian_UpperBody	_ClothArmor				0												0																																																											ClothArmor,Upperbody									ClothUpperBody	1	1	1		1			
ARM_Cloth_UpperBody_Crafted	_ClothArmor	ClothUpperBodyCrafted			0												0																																																											ClothArmor,Upperbody																	
ARM_Purge_UpperBody	_ClothArmor	ARM_Purge_UpperBody			1			0						3																																																														RobeArmor,Upperbody			White Prisoner Robe														
_ClothLowerBody		ClothLowerBody	Item	1		Leggings		30		0		0	2	5	700	0	0	0	0	0	0	0	0	0																																																					Equipment	Cloth	Burnished Bronze				0	0									
ARM_Civilian_LowerBody	_ClothLowerBody				0											10																																																												ClothPants,Pants									ClothLowerBody	1	1	1		1			
ARM_Purge_LowerBody	_ClothLowerBody	ARM_Purge_LowerBody			1			0																																																																				RobeArmor,Pants			White Prisoner Robe														
_ClothBoots		ClothBoots	Item	1		Boots		30		0		0	2	3	500	0	0	0	0	0	0	0	0	0																																																					Equipment	Cloth	Burnished Bronze				0	0									
ARM_Civilian_Boots	_ClothBoots				0									2																																																														ClothBoots,ArmorShoes									ClothBoots	1	1	1		1			
