Name	Parent	RecipeCategory	CraftingStation	Type 1	Object 1	Transform 1	Type 2	Object 2	Transform 2	Type 3	Object 3	Transform 3	Type 4	Object 4	Transform 4	Type 5	Object 5	Transform 5	AutoLevel	Requirement	ReqLevel	ResultAmount 1	Result 1	Boost 1	ResultAmount 2	Result 2	Boost 2	ResultAmount 3	Result 3	Boost 3	PreviewStatsID	PreviewIcon	PreviewTooltip	Comment	
Bone_LAB_MortarPestle_A		Runes		Category	Bone	Transform	Object	LAB_MortarPestle_A	None														TOOL_Pouch_Dust_Bone_A								TOOL_Pouch_Dust_Bone_A				
CON_Herb_Stardust_A_LAB_MortarPestle_A		Runes		Object	CON_Herb_Stardust_A	Transform	Object	LAB_MortarPestle_A	None														TOOL_Pouch_Dust_Star_A								TOOL_Pouch_Dust_Star_A				
TOOL_Pouch_Dust_Bone_A_TOOL_Pouch_Dust_Star_A		Runes		Object	TOOL_Pouch_Dust_Bone_A	Consume	Object	TOOL_Pouch_Dust_Star_A	Transform														TOOL_Pouch_Dust_Pixie_A								TOOL_Pouch_Dust_Pixie_A				
CON_Herb_Stardust_B_LAB_MortarPestle_A		Runes		Object	CON_Herb_Stardust_B	Transform	Object	LAB_MortarPestle_A	None														TOOL_Pouch_Dust_Star_B								TOOL_Pouch_Dust_Star_B				
TOOL_Pouch_Dust_Bone_A_TOOL_Pouch_Dust_Star_B		Runes		Object	TOOL_Pouch_Dust_Bone_A	Consume	Object	TOOL_Pouch_Dust_Star_B	Transform														TOOL_Pouch_Dust_Pixie_B								TOOL_Pouch_Dust_Pixie_B				
Wood_Oil_TOOL_Pouch_Dust_Pixie_A		Runes		Category	Wood	Consume	Property	Oil	None	Object	TOOL_Pouch_Dust_Pixie_A	Transform											LOOT_Rune_Flame_Small								LOOT_Rune_Flame_Small				
Water_Gold_TOOL_Pouch_Dust_Pixie_A		Runes		Property	Water	None	Category	Gold	Consume	Object	TOOL_Pouch_Dust_Pixie_A	Transform											LOOT_Rune_Thunder_Small								LOOT_Rune_Thunder_Small				
Water_Metal_TOOL_Pouch_Dust_Pixie_A		Runes		Property	Water	None	Category	Metal	Consume	Object	TOOL_Pouch_Dust_Pixie_A	Transform											LOOT_Rune_Frost_Small								LOOT_Rune_Frost_Small				
WaterWell_Gold_TOOL_Pouch_Dust_Pixie_A		Runes	Well	Category	Gold	Consume	Object	TOOL_Pouch_Dust_Pixie_A	Transform														LOOT_Rune_Thunder_Small								LOOT_Rune_Thunder_Small				
WaterWell_Metal_TOOL_Pouch_Dust_Pixie_A		Runes	Well	Category	Metal	Consume	Object	TOOL_Pouch_Dust_Pixie_A	Transform														LOOT_Rune_Frost_Small								LOOT_Rune_Frost_Small				
Rock_Beer_TOOL_Pouch_Dust_Pixie_A		Runes		Category	Rock	Consume	Property	Beer	None	Object	TOOL_Pouch_Dust_Pixie_A	Transform											LOOT_Rune_Rock_Small								LOOT_Rune_Rock_Small				
Bone_Poison_TOOL_Pouch_Dust_Pixie_A		Runes		Category	Bone	Consume	Property	Poison	None	Object	TOOL_Pouch_Dust_Pixie_A	Transform											LOOT_Rune_Venom_Small								LOOT_Rune_Venom_Small				
ITEM_Log_Livewood_Wine_TOOL_Pouch_Dust_Pixie_A		Runes		Object	ITEM_Log_Livewood	Consume	Property	Wine	None	Object	TOOL_Pouch_Dust_Pixie_A	Transform											LOOT_Rune_Masterwork_Small								LOOT_Rune_Masterwork_Small				
LOOT_Rune_Flame_Small_LOOT_Rune_Flame_Small		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Flame_Small	Consume	Object	LOOT_Rune_Flame_Small	Transform											LOOT_Rune_Flame_Medium								LOOT_Rune_Flame_Medium				
LOOT_Rune_Thunder_Small_LOOT_Rune_Thunder_Small		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Thunder_Small	Consume	Object	LOOT_Rune_Thunder_Small	Transform											LOOT_Rune_Thunder_Medium								LOOT_Rune_Thunder_Medium				
