Name	Parent	RootTemplate	ModifierType	Act	Level	UseAPCost	Value	Weight	ComboCategory	Requirements	Strength	Finesse	Intelligence	Constitution	Memory	Wits	Vitality	Armor	PiercingResistance	PhysicalResistance	FireResistance	EarthResistance	WaterResistance	AirResistance	PoisonResistance	Flags	InventoryTab	AddToBottomBar	IgnoredByAI	RuneLevel	RuneEffectWeapon	RuneEffectUpperbody	RuneEffectAmulet	ObjectCategory	MinAmount	MaxAmount	Priority	Unique	MinLevel	MaxLevel	Comment	
Crystal			Crystal				85	1000																																		
Gold			Item	1			0	0																		BleedingImmunity;SleepingImmunity;PoisonImmunity	Misc															
Trader_Small_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													Trader Gold	400	600	1		1	3		
Trader_Medium_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			4																													Trader Gold	700	1100	1		4	6		
Trader_Large_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			7																													Trader Gold	1200	1800	1		7	8		
Trader_Huge_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			9																													Trader Gold	2500	3700	1		9	12		
Trader_Insane_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			13																													Trader Gold	7000	11000	1		13	15		
Trader_Bank_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			16																													Trader Gold	16000	25000	1		16	17		
Trader_DragonsLair_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			18																													Trader Gold	30000	45000	1		18			
Tiny_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													SmallGold	2	4	1		1			
Tiny_Gold_2	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													SmallGold	6	9	1		9			
Tiny_Gold_3	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													SmallGold	8	12	1		15			
Small_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													Gold	4	13	1		1	2		
InBetween_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			3																													Gold	5	15	1		3	4		
Medium_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			5																													Gold	6	20	1		5	6		
Large_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			7																													Gold	8	26	1		7	8		
Larger_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			9																													Gold	15	48	1		9	10		
