Name	Type	Icon	Tooltip	Comment	
ClothArmor	ObjectCategories	Item_ARM_Cloth_A_Torso	Cloth Armour		
ArmorLeather	ObjectCategories	Item_ARM_Leather_A_Torso	Leather Armour		
ArmorScale	ObjectCategories	Item_ARM_Metal_A_Torso	Metal Armour		
RobeArmor	ObjectCategories	Item_ARM_Robe_A_Torso	Robe		
Garment	ObjectCategories	Item_ARM_Garment_A	Garment		
ArmorShoes	ObjectCategories	Item_ARM_Metal_A_Boots	Shoe		
ArmorBelt	ObjectCategories	Item_ARM_Leather_Belt_A	Belt		
ArmorGloves	ObjectCategories	Item_ARM_Leather_A_Bracers	Bracer		
LeatherHelmet	ObjectCategories	Item_ARM_Leather_A_Helmet	Leather Helmet		
ArmorHelmet	ObjectCategories	Item_ARM_Leather_A_Helmet	Helmet		
Upperbody	ObjectCategories	Item_ARM_Leather_A_Torso	Body Armour		
Gloves	ObjectCategories	Item_ARM_Leather_A_Bracers	Bracer		
Helmet	ObjectCategories	Item_ARM_Leather_A_Helmet	Helmet		
ArmorRing	ObjectCategories	Item_LOOT_Gold_Ring_A	Ring		
ArmorAmulet	ObjectCategories	Item_LOOT_MagicAmulet_Red	Amulet		
Pants	ObjectCategories	Item_EQ_Armor_Mage_Lowerbody_B	Leggings		
CupEmpty	ObjectCategories	Item_CON_Drink_Cup_A_Empty	Empty Cup		
Spoon	ObjectCategories	Item_FUR_Cutlery_Spoon_A	Spoon		
Pearl	ObjectCategories	Item_HAR_Pearl_A	Pearl		
Ruby	ObjectCategories	Item_LOOT_Ruby_A	Ruby		
Ring	ObjectCategories	Item_LOOT_Gold_Ring_A	Ring		
Herbs	ObjectCategories	Item_CON_Herb_Augmentor_A	Herb		
Sinew	ObjectCategories	Item_LOOT_String_A	Sinew		
Eye	ObjectCategories	Item_LOOT_Eye_A	Eye		
Feather	ObjectCategories	Item_LOOT_Feather_A	Feather		
Tooth	ObjectCategories	Item_LOOT_Tooth_A	Tooth		
Bone	ObjectCategories	Item_LOOT_Bone_A	Bone		
EmptyWand	ObjectCategories	Item_WPN_Wand_A	Empty Wand		
PotionHealing	ObjectCategories	Item_CON_Potion_A_Red_Mini	Healing Potion		
Mushrooms	ObjectCategories	Item_CON_Herb_Mushroom_A	Mushroom		
Food	ObjectCategories	Item_CON_Food_Dinner_A	Food		
Drink	ObjectCategories	Itemt_CON_Drink_Cup_A_Tea	Drink		
FoodFish	ObjectCategories	Item_CON_Food_Fish_A	Fish		
