Name	Parent	RootTemplate	Act	Level	Act strength	StackId	ComboCategory	AuraRadius	AuraSelf	AuraAllies	AuraNeutrals	AuraEnemies	AuraItems	AuraFX	Weight	Value	Strength	Finesse	Intelligence	Constitution	Memory	Wits	SingleHanded	TwoHanded	Ranged	DualWielding	PhysicalArmorMastery	MagicArmorMastery	VitalityMastery	PainReflection	WarriorLore	RangerLore	RogueLore	Sourcery	Telekinesis	FireSpecialist	WaterSpecialist	AirSpecialist	EarthSpecialist	Necromancy	Polymorph	Summoning	Sneaking	Thievery	Loremaster	Repair	Barter	Persuasion	Leadership	Luck	FireResistance	EarthResistance	WaterResistance	AirResistance	PoisonResistance	PiercingResistance	PhysicalResistance	Sight	Hearing	Initiative	Movement	MovementSpeedBoost	Vitality	VitalityBoost	VitalityPercentage	ChanceToHitBoost	AccuracyBoost	DodgeBoost	DamageBoost	RangeBoost	APCostBoost	SPCostBoost	APMaximum	APStart	APRecovery	CriticalChance	Gain	Armor	ArmorBoost	MagicArmor	MagicArmorBoost	Duration	UseAPCost	Reflection	LifeSteal	Damage	Damage Multiplier	Damage Range	DamageType	ActionPoints	MagicPoints	BloodSurfaceType	MaxSummons	AddToBottomBar	ExtraProperties	BoostConditions	Flags	BonusWeapon	StatusEffect	StatusIcon	StatusMaterial	SavingThrow	InventoryTab	UnknownBeforeConsume	IsConsumable	IsFood	SummonLifelinkModifier	IgnoredByAI	AiCalculationStatsOverride	RuneLevel	RuneEffectWeapon	RuneEffectUpperbody	RuneEffectAmulet	ObjectCategory	MinAmount	MaxAmount	Priority	Unique	MinLevel	MaxLevel	Comment	
Stats_ClearMinded			1	0		Stack_ClearMinded											3	3	3			7																																													20															10																		Skill_Fire_BoostPerception																						
Stats_Crippled			1	0																																																										-100						-30														2																		statIcons_Crippled																						
Stats_Entangled			1	0																																																										-100						-70														2															Grounded;ThrownImmunity			unknown																						
Stats_Rested			1	0													1	1	1																																																															2																		Skill_Water_FalseLife																						
Stats_Cursed			1	0																																															-15	-15	-15	-15	-15												-10	-30														2																		statIcons_Cursed																						
Stats_Blessed			1	0																																															15	15	15	15	15												20	10														2																		statIcons_Blessed																						
Stats_Weak			1	0													-5																																																				-50													2																		statIcons_Weak																						
Stats_Slowed			1	0																																																										-50						-30														2																		statIcons_Slowed																						
Stats_Hasted			1	0																																																									200													1	1							2																		statIcons_Hasted																						
Stats_DemonicHasted	Stats_Hasted		1	0																																																																														-1																		statIcons_ferocity																						
Stats_Enraged			1	0																																																																								100						2																		statIcons_Raged																						
Stats_Lucky			1	0																																														2																																2																		statIcons_Lucky																						
Stats_Diseased			1	0																-3																																																	-35													2																	RS3_FX_GP_Status_Diseased_01	statIcons_Diseased																						
Stats_Infectious_Diseased			1	0																-3																																																	-35													2																	RS3_FX_GP_Status_Infectious_01:Dummy_BodyFX	statIcons_Infectious_Disease																						
Stats_Fortified			1	0																																																																										40				2															Grounded			statIcons_Fortified																						
Stats_MagicShell			1	0																																																																												40		2																																								
Stats_Regenerating			1	0																																																																														2																		statIcons_Regenerate																						
Stats_Warm			1	0																																															-15		10																													2																		statIcons_Warm																						
Stats_Burning			1	0																																															-15		10																													2															WebImmunity			statIcons_Fire																						
