Name	Parent	ItemGroup	ModifierType	Act	Level	Requirements	Armor Defense Value	ArmorBoost	Magic Armor Value	MagicArmorBoost	Blocking	Durability	DurabilityDegradeSpeed	Value	Weight	Movement	Initiative	Slot	Fire	Air	Water	Earth	Poison	Piercing	Physical	StrengthBoost	FinesseBoost	IntelligenceBoost	ConstitutionBoost	MemoryBoost	WitsBoost	SingleHanded	TwoHanded	Ranged	DualWielding	Perseverance	Leadership	PainReflection	RogueLore	WarriorLore	RangerLore	FireSpecialist	WaterSpecialist	AirSpecialist	EarthSpecialist	Sourcery	Necromancy	Polymorph	Summoning	Telekinesis	Sneaking	LockPicking	Loremaster	Repair	Barter	Persuasion	Luck	SightBoost	HearingBoost	VitalityBoost	MagicPointsBoost	ChanceToHitBoost	APMaximum	APStart	APRecovery	AccuracyBoost	DodgeBoost	CriticalChance	Reflection	Bodybuilding	Willpower	MaxSummons	Skills	Talents	Tags	ExtraProperties	Flags	ComboCategory	InventoryTab	ItemColor	NeedsIdentification	Charges	MaxCharges	RuneSlots	RuneSlots_V1	ObjectCategory	MinAmount	MaxAmount	Priority	Unique	MinLevel	MaxLevel	Comment	
_Shields		Shields	Item	1	1	Constitution 12	90		60		0	0	6	60	5000	0	0	Shield	0	0	0	0	0	0	0																																																Shout_RecoverArmour						Equipment	DefaultGray				0	0									
NoShield	_Shields		Item	1	1	Constitution 0	0		0		0	0	0	0	0	0	0	Shield	0	0	0	0	0	0	0																																																																					
WPN_Shield	_Shields				0																																																																									ShieldMetal								Shield	1	1	1		1			
WPN_CraftedShield	_Shields	WPN_CraftedShield			0									10																																																																																
WPN_UNIQUE_WithermooreShield	_Shields	WithermooreShield			4									280																																																														_Vitality_ShieldBoost	CrippledImmunity													1				
WPN_Wood_Shield_A_Round_Shield_CHEAT	_Shields				15							10																																																																		ShieldWood																
WPN_Arena_Shield_A	_Shields				10																																																																																									
WPN_Toy_WoodenShield	_Shields	WPN_Toy_WoodenShield			1		50							20	3000																																																																								1	1	1		1			
WPN_Magister_Shield	_Shields	WPN_Shield_Magister_01			1																																																																																									
_CharacterCreationShields																																																																															Hidden															
WPN_Cleric_Shield_Lizards	_Shields	WPN_Cleric_Shield_Lizards			0																																																																																									
WPN_Cleric_Shield_Elves	_Shields	WPN_Cleric_Shield_Elves			0																																																																																									
WPN_Cleric_Shield_Dwarves	_Shields	WPN_Cleric_Shield_Dwarves			0																																																																																									
WPN_Cleric_Shield_Humans	_Shields	WPN_Cleric_Shield_Humans			0																																																																																									
WPN_Conjurer_Shield_Lizards	_Shields	WPN_Conjurer_Shield_Lizards			0																																																																																									
WPN_Conjurer_Shield_Elves	_Shields	WPN_Conjurer_Shield_Elves			0																																																																																									
WPN_Conjurer_Shield_Dwarves	_Shields	WPN_Conjurer_Shield_Dwarves			0																																																																																									
WPN_Conjurer_Shield_Humans	_Shields	WPN_Conjurer_Shield_Humans			0																																																																																									
WPN_Fighter_Shield_Lizards	_Shields	WPN_Fighter_Shield_Lizards			0																																																																																									
WPN_Fighter_Shield_Elves	_Shields	WPN_Fighter_Shield_Elves			0																																																																																									
WPN_Fighter_Shield_Dwarves	_Shields	WPN_Fighter_Shield_Dwarves			0																																																																																									
