Name	Parent	ItemGroup	ModifierType	Act	Level	Requirements	IsTwoHanded	AttackAPCost	Damage Type	Damage	Damage Range	DamageBoost	DamageFromBase	CriticalDamage	CriticalChance	WeaponRange	CleavePercentage	CleaveAngle	Durability	DurabilityDegradeSpeed	Value	Weight	Movement	Initiative	WeaponType	AnimType	Slot	Projectile	IgnoreVisionBlock	StrengthBoost	FinesseBoost	IntelligenceBoost	ConstitutionBoost	MemoryBoost	WitsBoost	TwoHanded	SingleHanded	Ranged	DualWielding	Perseverance	Leadership	PainReflection	WarriorLore	RangerLore	RogueLore	FireSpecialist	WaterSpecialist	AirSpecialist	EarthSpecialist	Necromancy	Polymorph	Summoning	Sourcery	Telekinesis	Sneaking	Thievery	Loremaster	Repair	Barter	Persuasion	Luck	Fire	Earth	Water	Air	Poison	SightBoost	HearingBoost	VitalityBoost	ChanceToHitBoost	APMaximum	APStart	APRecovery	AccuracyBoost	DodgeBoost	ComboCategory	Reflection	MaxSummons	LifeSteal	Skills	Talents	Tags	ExtraProperties	Flags	Boosts	InventoryTab	NeedsIdentification	Charges	MaxCharges	ItemColor	RuneSlots	RuneSlots_V1	ObjectCategory	MinAmount	MaxAmount	Priority	Unique	MinLevel	MaxLevel	Comment	
NoWeapon			Item	1	1	Strength 0	No	2	Physical	0	30		20	150	0	80			0	0	0		20		None		Weapon																																																													0			0	0									
Damage_Burning			Item						Fire	1	5		30																																																																											0													
Damage_Necrofire			Item						Fire	1	5		45																																																																											0													
Damage_Poisoned			Item						Poison	1	5		30																																																																											0													
Damage_Bleeding			Item						Piercing	1	5		35																																																																											0													
Damage_Acid			Item						Corrosive	1	5		50																																																																											0													
Damage_Suffocating			Item						Magic	1	5		50																																																																											0													
Damage_Totem_Armor_Strip			Item						Magic	1	5		250		0																																																																									0													
Damage_Explode			Item						Fire	1	5		200																																																																											0													
Damage_Remorse			Item						Piercing	1	5																																																																													0													
Damage_KneeBreaker			Skill						Piercing	1	5		20																																																																											0													
Damage_DeathWish			Skill						Piercing	1	5		0																																																																											0													
Damage_Pain			Skill						Piercing	1	5		130																																																																											0													
DamageSurface_Fire			Item						Fire	1	5		17																																																																											0													
DamageSurface_Necrofire			Item						Fire	1	5		25																																																																											0													
DamageSurface_Static			Item						Air	1	5		15																																																																											0													
DamageSurface_StaticCursed			Item						Air	1	5		20																																																																											0													
DamageSurface_Ooze			Item						Poison	1	5		17																																																																											0													
DamageSurface_CloudPoison			Item						Poison	1	5		17																																																																											0													
DamageSurface_Deathfog			Item						Piercing	1	0		6000																																																																											0													
DamageSurface_Lava			Item						Fire	1	10		4000																																																																											0													
DamageSurface_CloudExplosion			Item						Fire	1	5		30																																																																											0													
DamageSurface_FrostExplosion			Item						Water	1	5		150																																																																											0													
DamageSurface_Steam			Item						Water	1	5		10																																																																											0													
DamageSurface_Smoke			Item						Magic	1	15																																																																													0	0												
Status_Arrowhead_Fire			Item						Fire	1	5		40																																																																																								
Status_Arrowhead_Water			Item						Water	1	5		40																																																																																								
Status_Arrowhead_Poison			Item						Poison	1	5		40																																																																																								
Status_Arrowhead_Electric			Item						Air	1	5		40																																																																																								
Status_Arrowhead_Blood			Item						Physical	1	5		30																																																																																								
Status_Arrowhead_Oil			Item						Earth	1	5		40																																																																																								
Status_FireBrand			Item						Fire	1	5		20																																																																																								
Status_VenomCoating			Item						Poison	1	5		40																																																																																								
Status_SiphonPoison			Item						Poison	1	5		5																																																																																								
Skill_FlamingCrescendo			Skill						Fire	2	10		175																																																																																								
_Unarmed		WPN_Unarmed	Item	1		Strength 0	No	2	Physical	0	5		55	150	0	80			0	0	0	0	0		None	Unarmed	Weapon																																																											Hidden		0	0	DefaultGray	0	0									
_NpcUnarmed	_Unarmed									2																																																																																											
